      IPTS Basename                                                        Avg_Trans    Std_Trans
     30240 SDS_5mgmL_0M_48C_incohfit_errwt                                  0.812264     0.008416
     30240 SDS_5mgmL_0M_48C_incohfit_errwt_raw                              0.812234     0.011406
     30240 SDS_5mgmL_0M_48C_incohfit_raw                                    0.812234     0.011406
     30240 SDS_5mgmL_0M_48C_raw                                             0.812234     0.011406
     30240 SDS_5mgmL_0M_50C                                                 0.812264     0.008416
     30240 SDS_5mgmL_0M_50C_bfit_kfit_errwt                                 0.812264     0.008416
     30240 SDS_5mgmL_0M_50C_bfit_kfit_errwt_raw                             0.812234     0.011406
     30240 SDS_5mgmL_0M_50C_incohfit                                        0.812264     0.008416
     30240 SDS_5mgmL_0M_50C_incohfit_errwt                                  0.812264     0.008416
     30240 SDS_5mgmL_0M_50C_incohfit_errwt_raw                              0.812234     0.011406
     30240 SDS_5mgmL_0M_50C_incohfit_raw                                    0.812234     0.011406
     30240 SDS_5mgmL_0M_50C_raw                                             0.812234     0.011406
     30240 SDS_5mgmL_0p1M_20C                                               0.822220     0.011056
     30240 SDS_5mgmL_0p1M_20CC                                              0.822220     0.011056
     30240 SDS_5mgmL_0p1M_20CC_bfit_kfit_errwt                              0.822220     0.011056
     30240 SDS_5mgmL_0p1M_20CC_bfit_kfit_errwt_raw                          0.822218     0.012711
     30240 SDS_5mgmL_0p1M_20CC_incohfit                                     0.822220     0.011056
     30240 SDS_5mgmL_0p1M_20CC_incohfit_errwt                               0.822220     0.011056
     30240 SDS_5mgmL_0p1M_20CC_incohfit_errwt_raw                           0.822218     0.012711
     30240 SDS_5mgmL_0p1M_20CC_incohfit_raw                                 0.822218     0.012711
     30240 SDS_5mgmL_0p1M_20CC_raw                                          0.822218     0.012711
     30240 SDS_5mgmL_0p1M_20C_bfit_kfit_errwt                               0.822220     0.011056
     30240 SDS_5mgmL_0p1M_20C_bfit_kfit_errwt_raw                           0.822218     0.012711
     30240 SDS_5mgmL_0p1M_20C_incohfit                                      0.822220     0.011056
     30240 SDS_5mgmL_0p1M_20C_incohfit_errwt                                0.822220     0.011056
     30240 SDS_5mgmL_0p1M_20C_incohfit_errwt_raw                            0.822218     0.012711
     30240 SDS_5mgmL_0p1M_20C_incohfit_raw                                  0.822218     0.012711
     30240 SDS_5mgmL_0p1M_20C_raw                                           0.822218     0.012711
     30240 SDS_5mgmL_0p1M_20C_tof_10500_5560                                0.808795     0.013103
     30240 SDS_5mgmL_0p1M_20C_tof_10500_5560_raw                            0.808795     0.013103
     30240 SDS_5mgmL_0p1M_20C_tof_12500_3560                                0.802142     0.010259
     30240 SDS_5mgmL_0p1M_20C_tof_12500_3560_raw                            0.802142     0.010259
     30240 SDS_5mgmL_0p1M_20C_tof_14500_1560                                0.828975     0.001412
     30240 SDS_5mgmL_0p1M_20C_tof_14500_1560_raw                            0.828975     0.001412
     30240 SDS_5mgmL_0p1M_20C_tof_4500_11560                                0.827989     0.000531
     30240 SDS_5mgmL_0p1M_20C_tof_4500_11560_raw                            0.827989     0.000531
     30240 SDS_5mgmL_0p1M_20C_tof_6500_9560                                 0.829757     0.012138
     30240 SDS_5mgmL_0p1M_20C_tof_6500_9560_raw                             0.829757     0.012138
     30240 SDS_5mgmL_0p1M_20C_tof_8500_7560                                 0.813788     0.005271
